asin,title,category
B0B7B7WQY7,KLIM Chroma Wireless Gaming Keyboard RGB New 2023 Version - Long-Lasting Rechargeable Battery - Quick and Quiet Typing - Water Resistant Backlit Wireless Keyboard for PC PS5 PS4 Xbox One Mac - Black,"['Video Games', 'PC', 'Accessories', 'Gaming Keyboards']"
B08YHH5QDG,Pokémon Shining Pearl - Nintendo Switch,"['Video Games', 'Nintendo Switch', 'Games']"
B09QVJDVHN,"Redragon K552 Mechanical Gaming Keyboard RGB LED Backlit Wired with Anti-Dust Proof Switches for Windows PC (White, 87 Key Red Switches)","['Video Games', 'PC', 'Accessories', 'Gaming Keyboards']"
B08MBHYVXW,Metro Redux - Nintendo Switch,"['Video Games', 'Nintendo Switch', 'Games']"
B09TKK8GH6,"eXtremeRate Soft Touch Grip Back Plate for Nintendo Switch Console, NS Joycon Handheld Controller Housing with Full Set Buttons, DIY Replacement Shell for Nintendo Switch - 100$ Cash Money Patterned","['Video Games', 'Nintendo Switch', 'Accessories', 'Faceplates, Protectors & Skins']"
B003QCJLRM,Zumba Fitness - Nintendo Wii,"['Video Games', 'Legacy Systems', 'Nintendo Systems', 'Wii', 'Games']"
B08K39H8ST,"Controller Gear Xbox One Controller Stand v2.0, Licensed Accessory Display Stand (Controller Sold Separately)","['Video Games', 'Xbox One', 'Accessories', 'Accessory Kits']"
B08J6ZCZ11,"LightPro Animal Crossing Thumb Grip Caps Joystick Cap for Nintendo Switch Joy-Con and Switch Lite Controller, Cute Cat Paw Soft Silicone Consolo Analog Stick Covers-Green&Blue","['Video Games', 'Nintendo Switch', 'Accessories', 'Controllers']"
B07ST9BST9,"Switch Controller, Switch Pro Controller for Nintendo Switch/Switch OLED/Switch Lite, Remote Switch Controller Gamepad with Joystick, Supports Wake-Up, Gyro Axis, Turbo and Dual Vibration","['Video Games', 'Nintendo Switch', 'Accessories', 'Controllers']"
B09T5KH6MD,Meta Quest 2 - Advanced All-In-One Virtual Reality Headset - 256 GB (Renewed Premium),[]
B08DKQZXTT,YoRHa Thickened Rubber Silicone Cover Skin Case 3D Letters Massage Grip for Xbox One S/X Controller x 1(Black&Green) with PRO Thumb Grips x 8,"['Video Games', 'Xbox One', 'Accessories', 'Faceplates, Protectors & Skins']"
B07VQ6YNQZ,"ABKONCORE B581 USB Gaming Headset with 7.1 Surround Sound - PC Headset with Noise-Cancelling Mic, On-Ear Volume & Mute Controls, LED Light - Comfort to Wear Headphone for WFH PC, Laptop","['Video Games', 'PlayStation 4', 'Accessories', 'Headsets']"
B09JY72CNG,"Razer Goliathus Extended Chroma Gaming Mouse Pad: Customizable Chroma RGB Lighting - Soft, Cloth Material - Balanced Control & Speed - Non-Slip Rubber Base - Mercury White","['Video Games', 'PC', 'Accessories', 'Gaming Mice']"
B009GE437W,"Remote Plus, Mario - Nintendo Wii","['Video Games', 'Legacy Systems', 'Nintendo Systems', 'Wii', 'Accessories', 'Controllers', 'Remotes']"
B0B6HPDH51,SteelSeries QcK Gaming Surface - Medium Thick Cloth - Mouse Pad of All Time - Peak Tracking and Stability - Black,"['Video Games', 'PC', 'Accessories', 'Gaming Mice']"
B01MG6DORB,NBA 2K17 Standard Edition - PlayStation 4,"['Video Games', 'PlayStation 4', 'Games']"
B09JYTFLHJ,Razer Universal Quick Charging Stand for Xbox Series X|S: Magnetic Secure Charging - Perfectly Matches Xbox Wireless Controllers - USB Powered - Carbon Black (Controller Sold Separately),"['Video Games', 'Xbox Series X & S', 'Accessories', 'Batteries & Chargers']"
B09XV52WDK,"LexonElec K670 Wireless Gaming Keyboard and Mouse,16 Kinds RGB LED Backlit Rechargeable 5000mAh Battery Metal Panel,Mechanical Feel,Gaming Mute Mouse for PC Gamers(Black-White)","['Video Games', 'PC', 'Accessories', 'Gaming Keyboards']"
B07CRWDD4V,Xbox Soft Touch Design Custom Gaming Controller -Soft Shell for Comfort Grip X for Microsoft Xbox Pink (Rose Gold),[]
B07HSK43NH,HORI Nintendo Switch Battle Pad (Peach) GameCube Style Controller Officially Licensed By Nintendo - Nintendo Switch,"['Video Games', 'Nintendo Switch', 'Accessories', 'Controllers']"
B07YW3W8TK,"Corsair Ironclaw RGB - FPS and MOBA Gaming Mouse - 18,000 DPI Optical Sensor - Backlit RGB LED, Black","['Video Games', 'PC', 'Accessories', 'Gaming Mice']"
B07WMTHLTH,"For Apple Watch Fast Charger USB C, 2 in 1【Apple MFi Certified】3FT iWatch Charger Magnetic Charging Cable &PD USBC Fast Wall Charger Power Adapter for Apple Watch Series 6/SE/5/4/3/2/1&iPhone 14/13/12","['Video Games', 'Xbox One', 'Accessories', 'Cables & Adapters', 'Cables']"
B073XKXQW4,BASSTOP Portable DIY Replacement Housing Shell Case for Right Left Switch Joy-Con Controller Without Electronics (White+White),"['Video Games', 'Nintendo Switch', 'Accessories', 'Cases & Storage']"
B08FRPWRFJ,"Niclogi Dockable Case for Nintendo Switch, Protective Cover Case Compatible with Nintendo Switch Console and Joy-Con Controller, Separable Hard Cover Case with 2 Thumb Grip Caps(Blue and Pink)","['Video Games', 'Nintendo Switch', 'Accessories', 'Cases & Storage']"
B092PKTLGW,Mad Catz R.A.T. 8+ Adjustable Wired Gaming Mouse - 16000 DPI - 11 Programmable Buttons - 4 User Profiles Stored Directly - Customize RGB LED - Additional Palm Rests and Pinky Supports - Black,"['Video Games', 'PC', 'Accessories', 'Gaming Mice']"
B08CXGNQCM,YoRHa Water Transfer Printing Skull Silicone Cover Skin Case for Sony PS4/slim/Pro Dualshock 4 Controller x 1(Blue) with Pro Thumb Grips x 8,"['Video Games', 'PlayStation 4', 'Accessories', 'Faceplates, Protectors & Skins']"
B09FT6YWJF,"eXtremeRate PlayVital Back Cover for Nintendo Switch Console, NS Joycon Handheld Controller Protector Hard Shell, Dockable Protective Case with Purple ABXY Direction Button Caps - Classics SNES Style","['Video Games', 'Nintendo Switch', 'Accessories', 'Faceplates, Protectors & Skins']"
B074SRW2N3,Lee york Playstation 4 Charger PS4 PS4pro PS4slim Playstation Controller Charger Dual USB Charging Station Stand Docking Playstation,"['Video Games', 'PlayStation 4', 'Accessories', 'Batteries & Chargers', 'Chargers']"
B07XJY6KS7,Durgod Taurus K320 TKL Mechanical Gaming Keyboard - 87 Keys - Double Shot PBT Cherry Silent Red / White,"['Video Games', 'PC', 'Accessories', 'Gaming Keyboards']"
B008BKPU6A,10 Treasure Hunter Keys: RuneScape 3 [Instant Access],"['Video Games', 'PC', 'Games']"
B08CXVGV8H,YoRHa Water Transfer Printing Camouflage Silicone Cover Skin Case for Sony PS4/slim/Pro Dualshock 4 Controller x 1(Blue) with Pro Thumb Grips x 8,"['Video Games', 'PlayStation 4', 'Accessories', 'Faceplates, Protectors & Skins']"
B00I6E6SH6,Minecraft – Xbox One,"['Video Games', 'Xbox One', 'Games']"
B08P3D184H,"PS4 Gaming Headset for PC, Xbox One, PS5, PHOINIKAS G2000 Wired Over Ear Headphones with Detachable Noise Cancelling Mic, Bluetooth Wireless Earphones for Phone, Tablet, One-Click 7.1 Sound, Up to 12h","['Video Games', 'PC', 'Accessories', 'Headsets']"
B08T1X4R4L,"KRX Link Cable Compatible for Oculus Quest 2, Fast Charing & PC Data Transfer Double Wearable Breast Pump Electric Breast Pump Hands Free","['Video Games', 'PC', 'Virtual Reality', 'Headsets']"
B087LSSNG1,Xenoblade Chronicles: Definitive Edition - Nintendo Switch,"['Video Games', 'Nintendo Switch', 'Games']"
B06ZZCCDP7,Star Wars Battlefront II - Xbox One,"['Video Games', 'Xbox One', 'Games']"
B0BPYGJGXZ,"NexiGo PS5 Vertical Stand with Headset Holder and AC Adapter for PS5 Disc & Digital Editions, RGB LED Light, Dual Controllers Charger, 12 Game Rack Organizer, Hard Drive & Remote Slots, White RGB","['Video Games', 'Legacy Systems', 'PlayStation Systems', 'Sony PSP', 'Accessories', 'Accessory Kits']"
B07LGSV1VZ,"[Support Setting Multiple Keybinds] HYCARUS Keyboard and Mouse Adapter for Nintendo Switch/Xbox One/PS4/PS3, PS4 Keyboard Adapter & Xbox Keyboard Adapter. Perfect for Games such as FPS, TPS, RTS, etc.","['Video Games', 'PlayStation 4', 'Accessories', 'Cables & Adapters', 'Adapters']"
B01MRROR26,Controller Gear Controller Skin - Space Starfield - Officially Licensed by Xbox One,"['Video Games', 'Xbox One', 'Accessories', 'Faceplates, Protectors & Skins']"
B07CV6LH3V,"Mumba Case for Nintendo Switch, [Heavy Duty] Slim Rubberized [Snap on] Hard Case Cover for Nintendo Switch 2017 Release (Black)","['Video Games', 'Nintendo Switch', 'Accessories', 'Cases & Storage']"
B088TRGW4W,Zexrow Controller for Switch Wireless Switch Pro Controller Gamepad Joypad for Switch Console and PC Supports Wakeup Gyro Axis and Dual Vibration,"['Video Games', 'Legacy Systems', 'PlayStation Systems', 'PlayStation Vita', 'Accessories', 'Accessory Kits']"
B07DFZ6VHG,"BRHE Xbox-One Controller Skin, Anti-slip Silicone Cover Protector Case Accessories Set for Microsoft Xbox 1 Wireless/Wired Gamepad Joystick with 2 Thumb Grips Caps (Blue)","['Video Games', 'Xbox One', 'Accessories', 'Faceplates, Protectors & Skins']"
B0823F9NB8,"Hori Nintendo Switch D-Pad Controller (L) (Pokemon: Black & Gold Pikachu) By & PowerA Pokemon Joy-Con Comfort Grip for Nintendo Switch - Pikachu, Works with Nintendo Switch Lite - Nintendo Switch",[]
B0BJ16VT5Z,"Rock 'Em Sock 'Em Robots Kids Game, Fighting Robots with Red Rocker & Blue Bomber, Knock His Block Off [Amazon Exclusive]","['Video Games', 'Legacy Systems', 'PlayStation Systems', 'PlayStation', 'Games']"
B0BGWRZN11,"SARLAR Design Hard Carrying Case for Oculus Quest 2/ Elite Strap Edition/Quest Lightweight and Portable Protection, Custom Travel Case Storage VR Gaming Headset and Touch Controller Accessories","['Video Games', 'PC', 'Virtual Reality', 'Headsets']"
B08SR1Q7R4,"Controller Wireless, CFORWARD Game Controller Compatible for play3 Remote Joy sticks with Dual Vibration and 6Axis, Wireless Controller with Charger and Thumb Gripss","['Video Games', 'Legacy Systems', 'PlayStation Systems', 'PlayStation 3', 'Accessories', 'Controllers', 'Joysticks']"
B07YF8CQLX,Protective Grip Case for Nintendo Switch Lite- NS-Lite Protective Cover Switch Lite Accessories kit Included Soft TPU Cover Case and Tempered Glass Screen Protector,"['Video Games', 'Nintendo Switch', 'Accessories', 'Cases & Storage']"
B08WHWBSK9,"eXtremeRate Multi-Colors Luminated D-pad Thumbstick Trigger Home Face Buttons for PS4 Controller, DTFS (DTF 2.0) LED Kit for PS4 Slim Pro CUH-ZCT2 Controller - Controller NOT Included","['Video Games', 'PlayStation 4', 'Accessories', 'Accessory Kits']"
B000IN0BSU,Wii Classic Controller,"['Video Games', 'Legacy Systems', 'Nintendo Systems', 'Wii', 'Accessories', 'Controllers', 'Gamepads & Standard Controllers']"
B0C4YQ6W6H,"Trueque Wireless Mouse for Laptop, 2.4GHz Ergonomic Computer Mouse with Back & Forward Buttons, 3-Level DPI, 6 Buttons, Optical USB Cordless Mice for Windows Chromebook MacBook PC","['Video Games', 'PC', 'Accessories', 'Gaming Mice']"
B079T6CHPV,Nintendo Labo Toy-Con 01: Variety Kit - Switch (World Edition),"['Video Games', 'Nintendo Switch', 'Games']"
B074G36LZ4,"SteelSeries Rival 300, Optical Gaming Mouse - White","['Video Games', 'PC', 'Accessories', 'Gaming Mice']"
B07RW7PMND,"Charging Cable for Xbox 360 & Slim Wireless Game Controllers,2 Pack Black","['Video Games', 'Legacy Systems', 'Xbox Systems', 'Xbox 360', 'Accessories', 'Cables & Adapters', 'Cables']"
B09DFCB66S,PlayStation 5 Console CFI-1102A,"['Video Games', 'PlayStation 5', 'Consoles']"
B08M2K9K67,"eXtremeRate Cosmic Purple Gold Marble Effect Joycon Handheld Controller Housing w/Buttons, DIY Replacement Shell Case for Nintendo Switch & Switch OLED Model Joy-Con – Joycon and Console NOT Included","['Video Games', 'Nintendo Switch', 'Accessories', 'Faceplates, Protectors & Skins']"
B0BV655VQJ,"Retro Typewriter Keyboard and Mouse Combo, Cute Pink Keyboard with Linear Red Switches, Full Size Wired Mechanical Gaming Keyboard, Cool Light Up Keyboard and Mouse for Gaming,Work,Mac,PC,Windows","['Video Games', 'PC', 'Accessories', 'Gaming Keyboards']"
B01KZUL1CA,Turtle Beach - Ear Force Stealth 400 Fully Wireless Gaming Headset - PS4 (Discontinued by Manufacturer),"['Video Games', 'Legacy Systems', 'PlayStation Systems', 'PlayStation 3']"
B08TC3DBJV,"KIWI design Lens Protector Cover Accessories, Compatible with Quest 2, Quest Pro, Quest, Rift S, Valve Index, Pico 4 and HP Reverb G2 (Classic)","['Video Games', 'PC', 'Virtual Reality', 'Accessories']"
B07PG84GSQ,Headphone Stand Gaming Headset Stand with Wireless Charging Sturdy 2-in-1 Headset Holder & Wireless Charger for iPhone 8/8 Plus/X Samsung S8/S8 PlusS7/S7 Edge/S6/S6 Edge,"['Video Games', 'PC', 'Accessories', 'Headsets']"
B07XSHRXWS,"Fintie Carrying Case for Nintendo Switch Lite 2019, [Shockproof] Hard Shell Protective Cover Travel Bag w/15 Game Card & 2 Micro SD Card Slots for Switch Lite Console & Accessories, Ocean Marble","['Video Games', 'Nintendo Switch', 'Accessories', 'Cases & Storage']"
B0BTFX4STP,"HyperX Cloud Stinger S – Gaming Headset, for PC, Virtual 7.1 Surround Sound, Lightweight, Memory Foam, Soft Leatherette, Durable Steel Sliders, Swivel-to-Mute Noise-Cancelling Microphone, Black","['Video Games', 'PC', 'Accessories', 'Headsets']"
B09QTCLJ9T,PowerA Enhanced Wired Controller for Nintendo Switch - Power-Up Mario,"['Video Games', 'Nintendo Switch', 'Accessories', 'Controllers']"
B06ZXY893M,"Redragon K550 Mechanical Gaming Keyboard, RGB LED Backlit with Brown Switches, Macro Recording, Wrist Rest, Volume Control, Full Size, Yama, USB Passthrough for Windows PC Gamer (White)","['Video Games', 'PC', 'Accessories', 'Gaming Keyboards']"
B07SM7G9CN,Donkey Kong Country: Tropical Freeze - Nintendo Switch,"['Video Games', 'Nintendo Switch', 'Games']"
B07QQTJMRF,Star Wars Jedi: Fallen Order (PS4),"['Video Games', 'PlayStation 4', 'Games']"
B0BN8GN56W,"Wireless Pro Controller for Switch/Switch Lite/OLED, Switch Remote Gamepad with Wake-up, 3-Level Vibration, Turbo, Motion Control Function, 600mAh Battery Wireless Switch Controller, Animal Crossing Theme","['Video Games', 'Nintendo Switch', 'Accessories', 'Controllers']"
B08TWV3BXB,"JOREST Repair Kit for xbox one/360/X PS4 PS3 PS5, 25pcs kit with PH0 and T6 T8 T10 Torx Security Screwdriver, Crowbars, Tweezers, Brush, Cleaning Tool for Controller and Console","['Video Games', 'Xbox One', 'Accessories', 'Accessory Kits']"
B08Q1MFHT3,PowerA Enhanced Wireless Controller for Nintendo Switch - Black,"['Video Games', 'Nintendo Switch', 'Accessories', 'Controllers']"
B0BH9SL6T5,"SCUF Instinct Interchangeable Thumbsticks Black 4 Pack, Replacement Joysticks Only Instinct Pro Performance Xbox Series X|S Controller - Xbox Series X;","['Video Games', 'Xbox One', 'Accessories', 'Controllers', 'Joysticks']"
B0BJ47N918,"Corsair K60 RGB Pro SE Mechanical Gaming Keyboard - CHERRY Mechanical Keyswitches - Durable AluminumFrame - Customizable Per-Key RGB Backlighting - PBT Double-Shot Keycaps - Detachable Palm Rest,Black","['Video Games', 'PC', 'Accessories', 'Gaming Keyboards']"
B07CH81328,Nintendo Selects: Super Mario 3D Land - 3DS,"['Video Games', 'Legacy Systems', 'Nintendo Systems', 'Nintendo 3DS & 2DS', 'Games']"
B0797762M1,"Amazon Basics Gaming Headset for PC, Switch, Xbox, PS4","['Video Games', 'PlayStation 4', 'Accessories', 'Accessory Kits']"
B08SQQBLDR,"Niclogi Protective Case for Nintendo Switch Lite, Hard Cover Case Compatible with Nintendo Lite with 2 Thumb Grip Caps","['Video Games', 'Nintendo Switch', 'Accessories', 'Cases & Storage']"
B00JQDOALC,Sennheiser G4ME ONE PC Gaming Headset - Black,"['Video Games', 'PC', 'Accessories', 'Headsets']"
7100027950,The Legend of Zelda: The Wind Waker,"['Video Games', 'Legacy Systems', 'Nintendo Systems', 'GameCube', 'Games']"
B0B7BSBCSC,"HyperX Alloy Origins - Mechanical Gaming Keyboard, Software-Controlled Light & Macro Customization, Compact Form Factor, RGB LED Backlit - Linear HyperX Red Switch (Black)","['Video Games', 'PC', 'Accessories', 'Gaming Keyboards']"
B0995WDHNH,"XVX 60% Mechanical Gaming Keyboard, Womier K61 Hot Swappable Wired Keyboard, Gateron Switch Dual RGB Backlit Ultra-Compact 61 Keys for PC PS4 Xbox (White,Blue Switch)","['Video Games', 'PC', 'Accessories', 'Gaming Keyboards']"
B072K2DCFM,Hyperkin HD Cable for Wii,"['Video Games', 'Legacy Systems', 'Nintendo Systems', 'Wii', 'Accessories', 'Cables & Adapters', 'Cables']"
B0BC6CMVGT,"Game Card Case for Nintendo Switch (2019 & 2021 OLED),Nintendo Switch Lite, LeyuSmart 10 Game Cards & 10 Memory SD Cards Strorage Holder, Gameboy Portable Slim/Small Size Case White","['Video Games', 'Nintendo Switch', 'Accessories', 'Cases & Storage']"
B084Z55M47,"Paladone Playstation Gold Controller Coffee Mug, 11 oz, Officially Licensed Merchandise","['Video Games', 'Legacy Systems', 'PlayStation Systems', 'PlayStation', 'Games']"
B09M2CPHDL,Shin Megami Tensei V: Steelbook Launch Edition - Nintendo Switch,"['Video Games', 'Nintendo Switch', 'Games']"
B01JJFZ3LC,Nintendo 2DS - Electric Blue with Mario Kart 7,"['Video Games', 'Legacy Systems', 'Nintendo Systems', 'Nintendo 3DS & 2DS']"
B07BGYLS1L,Shadow of the Tomb Raider - Xbox One,"['Video Games', 'Xbox One', 'Games']"
B07FZ45GLT,"VOYEE Memory Card Replacement for Gamecube Memory Card, 512M Memory Card Compatible with Nintendo Gamecube and Wii Console- Blue","['Video Games', 'Legacy Systems', 'Nintendo Systems', 'Wii', 'Accessories', 'Memory']"
B08D7FF3FR,9CDeer 1 Piece of SiliconeTransfer Print Protective Cover Skin + 6 Thumb Grips & Dust Proof Plugs for PS4/Slim/Pro Controller Cartoon Skulls,"['Video Games', 'PlayStation 4', 'Accessories', 'Faceplates, Protectors & Skins']"
B08XB3ZSRF,9CDeer 1 Piece of SiliconeTransfer Print Protective Cover Skin + 6 Thumb Grips for Xbox One/S/X Controller Rainbow,"['Video Games', 'Xbox One', 'Accessories', 'Faceplates, Protectors & Skins']"
B08FY6FF8L,Oddworld: New 'N' Tasty (NSW) - Nintendo Switch,"['Video Games', 'Nintendo Switch', 'Games']"
B0B73F6DWG,"Akedo - Ultimate Arcade Warriors Starter Pack - Legendary Kick Attack - Mini Battling Action Figures - Ready, Fight, Split Strike","['Video Games', 'PlayStation 4', 'Games']"
B07121VW7K,"Switch Game Holder, Younik Switch Game Card Case Compatible with NS Switch, Portable Game Memory Card Storage with 16 Card Slots, 16 Micro SD Cards Holder","['Video Games', 'Legacy Systems', 'Nintendo Systems', 'Wii', 'Accessories', 'Cases & Storage']"
B09WS2QZXT,Tom Clancy's Rainbow Six Siege - PlayStation 4,"['Video Games', 'PlayStation 4', 'Games']"
B01MS6C7HT,SteelSeries Siberia 350 Gaming Headset - White (formerly Siberia v3 Prism),"['Video Games', 'PC', 'Accessories', 'Headsets']"
B013VO5MR2,"AceShot Thumb Grips (8pc) for Xbox One (Series X, S) & Steamdeck by Foamy Lizard – Sweat Free 100% Silicone Precision Raised Antislip Rubber Analog Stick Grips for Xbox One Controller (8 Grips) Black","['Video Games', 'Xbox One', 'Accessories', 'Thumb Grips']"
B08NDYPWK7,DEATHLOOP Standard Edition - PlayStation 5,"['Video Games', 'PlayStation 5', 'Games']"
B09QHS5255,eXtremeRate White Classical Symbols Custom Replacement Full Set Buttons for ps4 Slim Pro CUH-ZCT2 Controller - Compatible with ps4 DTFS LED Kit - Controller NOT Included,"['Video Games', 'PlayStation 4', 'Accessories', 'Accessory Kits']"
B00BU3ZLJQ,Minecraft,"['Video Games', 'Legacy Systems', 'Xbox Systems']"
B08NBDF4S5,"RK ROYAL KLUDGE RK84 Wireless RGB 75% Triple Mode BT5.0/2.4G/USB-C Hot Swappable Mechanical Keyboard, 84 Keys Bluetooth Gaming Keyboard w/High-Capacity Battery, Clicky Blue Switch","['Video Games', 'PC', 'Accessories', 'Gaming Keyboards']"
B07YBWT3PK,Fallout 4 - Xbox One,"['Video Games', 'Xbox One', 'Games']"
B088393X1Y,"Funturbo PSP Charger Cable, Playstation Portable Charger PSP Power Cord for Charging Sony PSP 1000 2000 3000 USB Data Cable & Charging Cord 2-in-1 (2 Pack)","['Video Games', 'Legacy Systems', 'PlayStation Systems', 'Sony PSP', 'Accessories', 'Cables & Adapters', 'Cables']"
B0B7W3MZX8,"RaceGT Gaming Mouse Pad, RGB Large Mouse Pad XXL, Extra Extended Large Multilight Modes,Anti-Slip Base, Waterproof & Portable Led Mouse Mat for Laptop Computer PC Games","['Video Games', 'PC', 'Accessories', 'Gaming Mice']"
B07SZ52PQM,"Gaming Headset for Xbox one Ps4, Gamer Headphone with Mic, Over ear Bass Stereo, Noise Reduction Microphone, LED Lights and Volume Control for PC, Nintendo Switch/3DS, Laptop, Mac, Pad, Smartphone","['Video Games', 'PC']"
B08KWDLQ7S,"Cooler Master MM720 White Glossy Lightweight Gaming Mouse with Ultraweave Cable, 16000 DPI Optical Sensor, RGB and Unique Claw Grip Shape","['Video Games', 'PC', 'Accessories', 'Gaming Mice']"
B07S38KQHS,Skywin Game Storage Tower for Nintendo Switch - Nintendo Switch Game Holder Game Disk Rack and Controller Organizer Compatible with Nintendo Switch and Accessories,"['Video Games', 'Nintendo Switch', 'Accessories', 'Mounts, Brackets & Stands']"
B08MBMV3TS,"Officially Licensed Nintendo 3DS Extendable Styluses – Pack of Three – Fits Nintendo 3DS and Nintendo DSi – Official Nintendo Licensed Product 3DS, 3DS XL, 3DS LL","['Video Games', 'Legacy Systems', 'Nintendo Systems', 'Nintendo DS', 'Accessories', 'Stylus Pens']"
B0BN2FNKLM,Thrustmaster T.Flight HOTAS 4 Stick for PlayStation & PC with Top Gun: Maverick,[]
B01798WKTY,"Razer RZ01-01610100-R3U1 Naga Chroma - Ergonomic RGB MMO Gaming Mouse- 12 Programmable Thumb Buttons & 16,000 Adjustible DPI","['Video Games', 'PC', 'Accessories', 'Gaming Mice']"
B08FGP36SH,"Tscope Switch Stand for Nintendo, for Animal Leaf Switch Holder, Adjustable Switch Lite Compact Portable Foldable Stand for Nintendo Switch Accessories (White)","['Video Games', 'Nintendo Switch', 'Accessories', 'Mounts, Brackets & Stands']"
B075X47CG7,"Skywin PS4 Controller Charger Station - Showcase, Cool, Charge, and Display your PSVR Accessories - Compatible with Playstation. PS4 Cooling station, PS4 Vertical Stand, PS4 Fan, PS4 Charging Station","['Video Games', 'PC', 'Virtual Reality', 'Accessories']"
B08SBWDBDB,"eXtremeRate Green Purple Chameleon Replacement ABXY Direction Keys SR SL L R ZR ZL Trigger Buttons, Full Set Buttons with Tools for Nintendo Switch & Switch OLED Joy-con - JoyCon Shell NOT Included","['Video Games', 'Nintendo Switch', 'Accessories']"
B09LHV53BL,"Massdrop x Sennheiser PC37X Gaming Headset — Noise-Cancelling Microphone with Over-Ear Open-Back Design, 10 ft Detachable Cable, and Velour Earpads,Black","['Video Games', 'PC', 'Accessories', 'Headsets']"
B09CD5BKQ7,"Wii Controller, TechKen Wii Remotes with Motion Plus and Nunchuck Replacements for Nintendo Wii and Wii U","['Video Games', 'Legacy Systems', 'Nintendo Systems', 'Wii', 'Accessories', 'Controllers']"
B07NVVZK2D,Nintendo Selects: Ultimate NES Remix - 3DS,"['Video Games', 'Legacy Systems', 'Nintendo Systems', 'Nintendo 3DS & 2DS', 'Games']"
